Vocab Word|Page|Type of Plural|Arabic|Plural|Alt. Plural|Fem. Sing.|Fem. Plural|Part of Speech|Verb Type
news|ix - Introduction|1a|خَبَر|أَخْبار||||n|
news item|ix - Introduction|1a|خَبَر|أَخْبار||||n|
number, digit|ix - Introduction|1a|رَقَم|أَرْقام||||n|
digit, number|ix - Introduction|1a|رَقَم|أَرْقام||||n|
hope|ix - Introduction|1a|أَمَل|آمال||||n|
edge, extremity|ix - Introduction|1a|طَرَف|طْراف||||n|
extremity, edge|ix - Introduction|1a|طَرَف|طْراف||||n|
goal (in soccer)|ix - Introduction|1a|جَوْل|جْوال||||n|
mistake, error|ix - Introduction|1a|خَطَأ|أَخْطاء||||n|
error, mistake|ix - Introduction|1a|خَطَأ|أَخْطاء||||n|
event, happening|ix - Introduction|1a|حَدَث|أَحْداث||||n|
happening, event|ix - Introduction|1a|حَدَث|أَحْداث||||n|
danger, risk, hazard|ix - Introduction|1a|خَطَر|أَخْطار||||n|
risk, danger, hazard|ix - Introduction|1a|خَطَر|أَخْطار||||n|
hazard, danger, risk|ix - Introduction|1a|خَطَر|أَخْطار||||n|
payment; tuition fee|ix - Introduction|1a|قِسْط|أَقْساط||||n|
tuition fee; payment|ix - Introduction|1a|قِسْط|أَقْساط||||n|
vote|ix - Introduction|1a|صَوْت|أَصْوات||||n|
ballot|ix - Introduction|1a|صَوْت|أَصْوات||||n|
voice|||صَوْت|أَصْوات||||n|
sound|||صَوْت|أَصْوات||||n|
athletic shoe; leather shoe|ix - Introduction|1a|بَوْط|بْواط||||n|
leather shoe; athletic shoe|ix - Introduction|1a|بَوْط|بْواط||||n|
shoe (athletic or leather)|ix - Introduction|1a|بَوْط|بْواط||||n|
tire, wheel|ix - Introduction|1a|عَجَل|عْجال||||n|
wheel, tire|ix - Introduction|1a|عَجَل|عْجال||||n|
idol, deity|ix - Introduction|1a|صَنَم|أَصْنام||||n|
deity, idol|ix - Introduction|1a|صَنَم|أَصْنام||||n|
goal|ix - Introduction|1a|هَدَف|أَهْداف||||n|
purpose|ix - Introduction|1a|هَدَف|أَهْداف||||n|
board|ix - Introduction|1a|لَوْح|لْواح||||n|
rope|ix - Introduction|1a|حَبَل|حْبال||||n|
clothes line|||حَبَل|حْبال||||n|
line|||حَبَل|حْبال||||n|
brother|ix - Introduction|1a|أَخّ|خْوان||||n|
door|ix - Introduction|1b|باب|بْواب||||n|
ethnicity, race|ix - Introduction|1c|عِرْق|أَعْراق||||n|
race, ethnicity|ix - Introduction|1c|عِرْق|أَعْراق||||n|
secret|ix - Introduction|1c|سِرّ|أَسْرار||||n|
wire, cable|ix - Introduction|1c|سِلْك|أَسْلاك||||n|
cable, wire|ix - Introduction|1c|سِلْك|أَسْلاك||||n|
price|ix - Introduction|1c|سِعِر|أَسْعار||||n|
poem|ix - Introduction|1c|شِعِر|أَشْعار||||n|
child, toddler, baby|ix - Introduction|1c|طِفِل|أَطْفال||||n|
toddler, child, baby|ix - Introduction|1c|طِفِل|أَطْفال||||n|
baby, child, toddler|ix - Introduction|1c|طِفِل|أَطْفال||||n|
button; clothing button|ix - Introduction|1c|زِرّ|زْرار||||n|
political party|ix - Introduction|1c|حِزِب|أَحْزاب||||n|
party (political)|ix - Introduction|1c|حِزِب|أَحْزاب||||n|
hip|ix - Introduction|1c|وِرِك|وْراك||||n|
dream|ix - Introduction|1c|حِلِم|أَحْلام||||n|
tooth|x - Introduction|1c|سِنّ|سْنان||||n|
meter|x - Introduction|1c|مِتِر|مْتار||||n|
load|x - Introduction|1c|حِمِل|أَحْمال||||n|
seal, stamp|x - Introduction|1c|خِتِم|أَخْتام||||n|
stamp, seal|x - Introduction|1c|خِتِم|أَخْتام||||n|
appearance; figure; shape; facial expression; form|x - Introduction|1c|شِكْل|أَشْكال||||n|
figure; shape; appearance; facial expression; form|x - Introduction|1c|شِكْل|أَشْكال||||n|
shape; appearance; figure; facial expression; form|x - Introduction|1c|شِكْل|أَشْكال||||n|
facial expression; form; figure; shape; appearance|x - Introduction|1c|شِكْل|أَشْكال||||n|
form; figure; shape; appearance; facial expression|x - Introduction|1c|شِكْل|أَشْكال||||n|
film, movie|x - Introduction|1c|فِلِم|أَفْلام||||n|
movie, film|x - Introduction|1c|فِلِم|أَفْلام||||n|
department, section|x - Introduction|1c|قِسِم|أَقْسام||||n|
section, department|x - Introduction|1c|قِسِم|أَقْسام||||n|
gender|x - Introduction|1c|جِنْس|أَجْناس||||n|
neighborhood|x - Introduction|1d|حَيّ|أَحْياء||||n|
name|x - Introduction|1e|إِسِم|أَسْماء||||n|
something, thing|x - Introduction|1e|إِشِي|أَشْياء||||n|
something, thing|x - Introduction|1e|شِي|أَشْياء||||n|
thing, something|x - Introduction|1e|إِشِي|أَشْياء||||n|
thing, something|x - Introduction|1e|شِي|أَشْياء||||n|
religion|x - Introduction|1f|دِين|أَدْيان||||n|
bag|x - Introduction|1f|كِيس|كْياس||||n|
generation|x - Introduction|1f|جِيل|أَجْيال||||n|
excuse|x - Introduction|1g|عُذُر|أَعْذار||||n|
land mine|x - Introduction|1g|لُغُم|أَلْغام||||n|
part|x - Introduction|1g|جُزُء|أَجْزاء||||n|
job|x - Introduction|1g|شُغُل|أَشْغال||||n|
mouth|x - Introduction|1g|تُمّ|تْمام||||n|
free person|x - Introduction|1g|حُرّ|أَحْرار||||n|
judgement; jail sentence; reign|x - Introduction|1g|حُكُم|أَحْكام||||n|
jail sentence; judgement; reign|x - Introduction|1g|حُكُم|أَحْكام||||n|
reign; judgement; jail sentence|x - Introduction|1g|حُكُم|أَحْكام||||n|
sentence (jail); judgement; reign|x - Introduction|1g|حُكُم|أَحْكام||||n|
mind (human); brain (animal)|x - Introduction|1g|مُخّ|مْخاخ||||n|
brain (animal); mind (human)|x - Introduction|1g|مُخّ|مْخاخ||||n|
oven; stove|x - Introduction|1g|فُرُن|فْران||||n|
stove; oven|x - Introduction|1g|فُرُن|فْران||||n|
wedding|x - Introduction|1g|عُرُس|عْراس||||n|
sleeve|x - Introduction|1g|كُمّ|كْمام||||n|
spirit|x - Introduction|1h|رُوح|أَرْواح||||n|
wall (outside)|x - Introduction|1h|سُور|أَسْوار||||n|
market, supermarket, shopping area|x - Introduction|1h|سُوق|سْواق||||n|
elbow|x - Introduction|1h|كُوع|كْواع||||n|
neck|x - Introduction|1i|رَقَبة|رْقاب||||n|
man, guy|x - Introduction|1i|زَلَمة|زْلام||||n|
guy, man|x - Introduction|1i|زَلَمة|زْلام||||n|
basket|x - Introduction|1i|سَلّة|سْلال||||n|
gas tank|x - Introduction|1i|جَرّة الغاز|جْرار الغاز||||n|
paper (piece of); leaf|x - Introduction|1i|وَرَقة|وْراق||||n|
leaf; piece of paper|x - Introduction|1i|وَرَقة|وْراق||||n|
pile (of something)|x - Introduction|1i|كَوْمة|كْوام||||n|
wave|x - Introduction|1i|مَوْجة|أَمْواج||||n|
idea, thought|x - Introduction|1j|فِكْرة|أَفْكار||||n|
thought, idea|x - Introduction|1j|فِكْرة|أَفْكار||||n|
toy; game; doll|x - Introduction|1k|لُعْبة|أَلْعاب||||n|
game; toy; doll|x - Introduction|1k|لُعْبة|أَلْعاب||||n|
doll; toy; game|x - Introduction|1k|لُعْبة|أَلْعاب||||n|
child, little one|x - Introduction|1l|صْغير|صْغار||||n|
old thing|x - Introduction|1l|قَديم|قْدام||||n|
weak; slim|x - Introduction|1l|ضْعيف|ضْعاف||||n|
slim; weak|x - Introduction|1l|ضْعيف|ضْعاف||||n|
loved one|x - Introduction|1l|حَبيب|حْباب||||n|
adult, grown-up, big person|x - Introduction|1l|كْبير|كْبار||||n|
grandson|x - Introduction|1l|حَفِيد|أَحْفاد||||n|
new person, new thing|x - Introduction|1l|جْدِيد|جْداد||||n|
orphan|x - Introduction|1l|يَتِيم|أَيْتام||||n|
evil person|xi - Introduction|1m|شِرِّير|أَشْرار||||n|
friend, buddy|xi - Introduction|1n|صاحِب|صْحاب||||n|
buddy, friend|xi - Introduction|1n|صاحِب|صْحاب||||n|
dead person|xi - Introduction|1o|مَيِّت|أَمْوات||||n|
dead|||مَيِّت|مَيِّتِين||مَيِّتة|مَيِّتات|adj|
guy, young man|xi - Introduction|2|شَبّ|شَباب||||n|
young man, guy|xi - Introduction|2|شَبّ|شَباب||||n|
wind|xi - Introduction|3a|رِيح|رِياح||||n|
mile|xi - Introduction|3a|مِيل|مِيال||||n|
wolf|xi - Introduction|3a|دِيب|دِياب||||n|
fence, chain-link fence|xi - Introduction|3a|شِيك|شِياك||||n|
chain-link fence, fence|xi - Introduction|3a|شِيك|شِياك||||n|
arrow|xi - Introduction|3b|سَهِم|سِهام||||n|
stock (in a company)|xi - Introduction|3b|سَهِم|سِهام||||n|
husband|xi - Introduction|4a|جَوْز|جِيزان||||n|
neighbor|xi - Introduction|4b|جار|جِيران||||n|
whale|xi - Introduction|4c|حُوت|حِيتان||||n|
lesson|xi - Introduction|5a|دَرْس|دْرُوس||||n|
soul|xi - Introduction|5a|نَفْس|نْفُوس||||n|
house, home|xi - Introduction|5a|بَيْت|بْيُوت||||n|
home, house|xi - Introduction|5a|بَيْت|بْيُوت||||n|
army|xi - Introduction|5a|جَيْش|جْيُوش||||n|
month|xi - Introduction|5a|شَهَر|شْهُور||||n|
loan|xi - Introduction|5a|قَرْض|قُرُوض||||n|
debt|xi - Introduction|5a|دَيْن|دْيُون||||n|
bank|xi - Introduction|5a|بَنْك|بْنُوك||||n|
delegation|xi - Introduction|5a|وَفْد|وُفُود||||n|
eye; burner|xi - Introduction|5a|عَيْن|عْيُون||||n|
burner; eye|xi - Introduction|5a|عَيْن|عْيُون||||n|
right|xi - Introduction|5a|حَقّ|حْقُوق||||n|
poison|xi - Introduction|5a|سَمّ|سْمُوم||||n|
evil|xi - Introduction|5a|شَرّ|شْرُور||||n|
plate; dish|xi - Introduction|5a|صَحِن|صْحُون||||n|
dish; plate|xi - Introduction|5a|صَحِن|صْحُون||||n|
contract|xi - Introduction|5a|عَقِد|عُقُود||||n|
art|xi - Introduction|5a|فَنّ|فُنُون||||n|
heart|xi - Introduction|5a|قَلْب|قْلُوب||||n|
ceiling|xi - Introduction|5a|سَقِف|سُقُوف||||n|
guest|xi - Introduction|5a|ضَيْف|ضْيُوف||||n|
border; limit|xi - Introduction|5a|حَدّ|حْدُود||||n|
limit; border|xi - Introduction|5a|حَدّ|حْدُود||||n|
bookshelf; shelf|xi - Introduction|5a|رَفّ|رْفُوف||||n|
shelf; bookshelf|xi - Introduction|5a|رَفّ|رْفُوف||||n|
class; row|xi - Introduction|5a|صَفّ|صْفُوف||||n|
row; class|xi - Introduction|5a|صَفّ|صْفُوف||||n|
TV show|xi - Introduction|5a|عَرْض|عُرُوض||||n|
offer|xi - Introduction|5a|عَرْض|عُرُوض||||n|
sale|xi - Introduction|5a|عَرْض|عُرُوض||||n|
special offer|xi - Introduction|5a|عَرْض|عُرُوض||||n|
origin, root|xi - Introduction|5a|أَصْل|أُصُول||||n|
root, origin|xi - Introduction|5a|أَصْل|أُصُول||||n|
worry, concern, burden|xi - Introduction|5a|هَمّ|هْمُوم||||n|
concern, worry, burden|xi - Introduction|5a|هَمّ|هْمُوم||||n|
burden, worry, concern|xi - Introduction|5a|هَمّ|هْمُوم||||n|
guilt; sin|xi - Introduction|5a|ذَنْب|ذُنُوب||||n|
sin; guilt|xi - Introduction|5a|ذَنْب|ذُنُوب||||n|
beach, shore|xi - Introduction|5a|شَطّ|شْطُوط||||n|
shore, beach|xi - Introduction|5a|شَطّ|شْطُوط||||n|
bed|xi - Introduction|5a|تَخِت|تْخُوت||||n|
crib|xi - Introduction|5a|تَخِت|تْخُوت||||n|
mattress|xi - Introduction|5a|تَخِت|تْخُوت||||n|
beast|xi - Introduction|5a|وَحْش|وُحُوش||||n|
promise|xi - Introduction|5a|وَعِد|وُعُود||||n|
field, meadow|xi - Introduction|5a|حَقِل|حُقُول||||n|
meadow, field|xi - Introduction|5a|حَقِل|حُقُول||||n|
letter (of the alphabet)|xi - Introduction|5a|حَرْف|حُرُوف||||n|
lion|xii - Introduction|5a|أَسَد|أُسُود||||n|
mind|xii - Introduction|5a|عَقِل|عْقُول||||n|
fee|xii - Introduction|5a|رَسِم|رُسُوم||||n|
solution|xii - Introduction|5a|حَلّ|حْلُول||||n|
crack|xii - Introduction|5a|شَقّ|شْقُوق||||n|
envelope|xii - Introduction|5a|زَرْف|زْرُوف||||n|
sea|xii - Introduction|5a|بَحَر|بْحُور||||n|
eyelash|xii - Introduction|5a|رَمْش|رْمُوش||||n|
cheek|xii - Introduction|5a|خَدّ|خْدُود||||n|
castle|xii - Introduction|5a|قَصِر|قُصُور||||n|
scratch|xii - Introduction|5a|خَدْش|خُدُوش||||n|
jail; prison|xii - Introduction|5a|حَبِس|حْبُوس||||n|
prison; jail|xii - Introduction|5a|حَبِس|حْبُوس||||n|
set (of dishes, sofas, teeth, etc|xii - Introduction|5a|طَقِم|طْقُوم||||n|
root; root of a plant|xii - Introduction|5a|جَذِر|جُذُور||||n|
restriction; chain|xii - Introduction|5a|قَيْد|قُيُود||||n|
chain; restriction|xii - Introduction|5a|قَيْد|قُيُود||||n|
pressure; stress|xii - Introduction|5a|ضَغْط|ضْغُوط||||n|
stress; pressure|xii - Introduction|5a|ضَغْط|ضْغُوط||||n|
century; horn|xii - Introduction|5a|قَرْن|قُرُون||||n|
horn; century|xii - Introduction|5a|قَرْن|قُرُون||||n|
card (greeting, business, etc)|xii - Introduction|5a|كَرْت|كْرُوت||||n|
hawk; falcon|xii - Introduction|5a|صَقِر|صُقُور||||n|
falcon; hawk|xii - Introduction|5a|صَقِر|صُقُور||||n|
pot belly; gut|xii - Introduction|5a|كَرْش|كْرُوش||||n|
belly (pot); gut|xii - Introduction|5a|كَرْش|كْرُوش||||n|
gut; pot belly|xii - Introduction|5a|كَرْش|كْرُوش||||n|
opponent, rival; 8-ball|xii - Introduction|5a|خَصِم|خْصُوم||||n|
rival, opponent; 8-ball|xii - Introduction|5a|خَصِم|خْصُوم||||n|
eight-ball; opponent, rival|xii - Introduction|5a|خَصِم|خْصُوم||||n|
thousand (for counting persons)|xii - Introduction|5a|أَلْف|أُلُوف||||n|
circumstance|xii - Introduction|5a|زَرْف|زُرُوف||||n|
palm date|xii - Introduction|5a|تَمِر|تُمُور||||n|
date (palm)|xii - Introduction|5a|تَمِر|تُمُور||||n|
stipulation, condition; incision|xii - Introduction|5a|شَرْط|شْرُوط||||n|
condition, stipulation; incision|xii - Introduction|5a|شَرْط|شْرُوط||||n|
incision; stipulation, condition|xii - Introduction|5a|شَرْط|شْرُوط||||n|
pill, capsule; seed, kernel, grain|xii - Introduction|5b|حَبّة|حْبُوب||||n|
capsule, pill; seed, kernel, grain|xii - Introduction|5b|حَبّة|حْبُوب||||n|
seed, kernel, grain; pill, capsule|xii - Introduction|5b|حَبّة|حْبُوب||||n|
kernel, seed, grain; pill, capsule|xii - Introduction|5b|حَبّة|حْبُوب||||n|
grain, seed, kernel; pill, capsule|xii - Introduction|5b|حَبّة|حْبُوب||||n|
scratch|xii - Introduction|5c|شَحْطة|شْحُوط||||n|
nostrils (plural use only)|xii - Introduction|5c|جَيْبة|جْيُوب||||n|
face|xii - Introduction|5d|وِجِه|وُجُوه||||n|
monkey|xii - Introduction|5d|قِرْد|قُرُود||||n|
tiger|xii - Introduction|5d|نِمِر|نْمُور||||n|
lock|xii - Introduction|5d|قِفِل|قْفُول||||n|
padlock||5d|قِفِل|قْفُول||||n|
treasure|xii - Introduction|5d|كِنْز|كُنُوز||||n|
bridge|xii - Introduction|5d|جِسِر|جْسُور||||n|
jail; prison|xii - Introduction|5d|سِجِن|سْجُون||||n|
prison; jail|xii - Introduction|5d|سِجِن|سْجُون||||n|
branch (of a business)|xii - Introduction|5d|فِرِع|فْرُوع||||n|
star; Hollywood star, celebrity|xii - Introduction|5d|نِجِم|نْجُوم||||n|
celebrity, Hollywood star; star|xii - Introduction|5d|نِجِم|نْجُوم||||n|
penny (one qirsh)|xii - Introduction|5d|قِرْش|قْرُوش||||n|
nickel (five qirsh)|xii - Introduction|5d|شِلِن|شْلُون||||n|
grandfather; forefather, ancestor|xii - Introduction|5d|جِدّ|جْداد||||n|
forefather, ancestor; grandfather|xii - Introduction|5d|جِدّ|جْداد||||n|
ancestor, forefather; grandfather|xii - Introduction|5d|جِدّ|جْداد||||n|
eagle; vulture|xii - Introduction|5d|نِسِر|نْسُور||||n|
vulture; eagle|xii - Introduction|5d|نِسِر|نْسُور||||n|
star; Hollywood star, celebrity (fem.)|xii - Introduction|5e|نِجْمة|نْجُوم||||n|
celebrity (fem.), Hollywood star; star|xii - Introduction|5e|نِجْمة|نْجُوم||||n|
necklace|xii - Introduction|5f|عُقُد|عْقُود||||n|
effort|xii - Introduction|5f|جُهُد|جُهُود||||n|
cut|xii - Introduction|5f|جُرُح|جْرُوح||||n|
hole (not in the ground)|xii - Introduction|5f|خُزُق|خْزُوق||||n|
branch (of a tree)|xii - Introduction|5f|غُصْن|غًصُون||||n|
perfume; cologne; scent|xii - Introduction|5f|عُطُر|عُطُور||||n|
cologne; perfume; scent|xii - Introduction|5f|عُطُر|عُطُور||||n|
scent; perfume; cologne|xii - Introduction|5f|عُطُر|عُطُور||||n|
head|xii - Introduction|5g|راس|رُوس||||n|
cup (in sports)|xii - Introduction|5g|كأْس|كُؤُوس||||n|
witness|xii - Introduction|5h|شاهِد|شُهُود||||n|
rooster|xiii - Introduction|5i|دِيك|دْيُوك||||n|
soldier|xiii - Introduction|5j|جُنْدِي|جُنُود||||n|
receipt|xiii - Introduction|5k|وَصِل|وْصُولة||||n|
office; desk|xiii - Introduction|6a|مَكْتَب|مَكاتِب||||n|
desk; office|xiii - Introduction|6a|مَكْتَب|مَكاتِب||||n|
courthouse; court|xiii - Introduction|6a|مَحْكَمة|مَحاكِم||||n|
court; courthouse|xiii - Introduction|6a|مَحْكَمة|مَحاكِم||||n|
school|xiii - Introduction|6a|مَدْرَسة|مَدارِس||||n|
farm; ranch|xiii - Introduction|6a|مَزْرَعة|مَزارِع||||n|
ranch; farm|xiii - Introduction|6a|مَزْرَعة|مَزارِع||||n|
factory|xiii - Introduction|6a|مَصْنَع|مَصانِع||||n|
ditch; sewer|xiii - Introduction|6a|مَجْرى|مَجارِي||||n|
sewer; ditch|xiii - Introduction|6a|مَجْرى|مَجارِي||||n|
stage|xiii - Introduction|6a|مَسْرَح|مَسارِح||||n|
shelter|xiii - Introduction|6a|مَلْجَأ|مَلاجِئ||||n|
principle|xiii - Introduction|6a|مَبْدَأ|مَبادِئ||||n|
battle|xiii - Introduction|6a|مَعْرَكة|مَعارِك||||n|
shovel|xiii - Introduction|6a|مَجْرَفة|مَجارِف||||n|
amount|xiii - Introduction|6a|مَبْلَغ|مَبالِغ||||n|
sum|xiii - Introduction|6a|مَبْلَغ|مَبالِغ||||n|
orphanage|xiii - Introduction|6a|مَيْتَم|مَياتِم||||n|
kingdom|xiii - Introduction|6a|مَمْلَكة|مَمالِك||||n|
trap|xiii - Introduction|6a|مَصْيَدة|مَصايِد||||n|
temple|xiii - Introduction|6a|هَيْكَل|هَياكِل||||n|
personal interest, benefit|xiii - Introduction|6a|مَصْلَحة|مَصالِح||||n|
interest (personal), benefit|xiii - Introduction|6a|مَصْلَحة|مَصالِح||||n|
benefit, personal interest|xiii - Introduction|6a|مَصْلَحة|مَصالِح||||n|
water valve; water spout|xiii - Introduction|6a|مَحْبَس|مَحابِس||||n|
serving spoon, utensil; ladle|xiii - Introduction|6a|مَغْرَفة|مَغارِف||||n|
spoon (serving), utensil; ladle|xiii - Introduction|6a|مَغْرَفة|مَغارِف||||n|
utensil; serving spoon; ladle|xiii - Introduction|6a|مَغْرَفة|مَغارِف||||n|
ladle; utensil; serving spoon|xiii - Introduction|6a|مَغْرَفة|مَغارِف||||n|
position, level (not in the military)|xiii - Introduction|6a|مَرْتَبة|مَراتِب||||n|
level, position (not in the military)|xiii - Introduction|6a|مَرْتَبة|مَراتِب||||n|
bookstore; library|xiii - Introduction|6a|مَكْتَبة|مَكاتِب||||n|
library; bookstore|xiii - Introduction|6a|مَكْتَبة|مَكاتِب||||n|
playground; court; field|xiii - Introduction|6a|مَلْعَب|مَلاعِب||||n|
court; playground; field|xiii - Introduction|6a|مَلْعَب|مَلاعِب||||n|
field, court, playground|xiii - Introduction|6a|مَلْعَب|مَلاعِب||||n|
tragedy, disaster|xiii - Introduction|6a|مَأَساة|مَآسِي||||n|
disaster, tragedy|xiii - Introduction|6a|مَأَساة|مَآسِي||||n|
meaning, definition|xiii - Introduction|6a|مَعْنى|مَعانِي||||n|
definition, meaning|xiii - Introduction|6a|مَعْنى|مَعانِي||||n|
slaughterhouse|xiii - Introduction|6a|مَسْلَخ|مَسالِخ||||n|
carpenter's shop|xiii - Introduction|6a|مَنْجَرة|مَناجِر||||n|
view; look; scene|xiii - Introduction|6a|مَنْظَر|مَناظِر||||n|
look; view; scene|xiii - Introduction|6a|مَنْظَر|مَناظِر||||n|
scene; view; look|xiii - Introduction|6a|مَنْظَر|مَناظِر||||n|
kitchen sink|xiii - Introduction|6a|مَجْلى|مَجالِي||||n|
spoon|xiii - Introduction|6a|مَعْلَقة|مَعالِق||||n|
teaspoon|xiii - Introduction|6a|مَعْلَقة|مَعالِق||||n|
spoonful||6a|مَعْلَقة|مَعالِق||||n|
towel, bath towel|xiii - Introduction|6a|مَنْشَفة|مَناشِف||||n|
storage area; warehouse|xiii - Introduction|6a|مَخْزَن|مَخازِن||||n|
warehouse; storage area|xiii - Introduction|6a|مَخْزَن|مَخازِن||||n|
graveyard, cemetery|xiii - Introduction|6a|مَقْبَرة|مَقابِر||||n|
cemetery, graveyard|xiii - Introduction|6a|مَقْبَرة|مَقابِر||||n|
wallet, billfold|xiii - Introduction|6a|مَحْفَظة|مَحافِظ||||n|
billfold, wallet|xiii - Introduction|6a|مَحْفَظة|مَحافِظ||||n|
staple; stapler|xiii - Introduction|6a|مَكْبَس|مَكابِس||||n|
stapler; staple|xiii - Introduction|6a|مَكْبَس|مَكابِس||||n|
joint|xiii - Introduction|6a|مَفْصَل|مَفاصِل||||n|
elevator|xiii - Introduction|6a|مَصْعَد|مَصاعِد||||n|
taxi|xiii - Introduction|6a|تَكْسِي|تَكاسِي||||n|
area, region|xiii - Introduction|6b|مَنْطِقة|مَناطِق||||n|
region, area|xiii - Introduction|6b|مَنْطِقة|مَناطِق||||n|
mosque|xiii - Introduction|6b|مَسجِد|مَساجِد||||n|
center; position|xiii - Introduction|6b|مَرْكِز|مَراكِز||||n|
position; center|xiii - Introduction|6b|مَرْكِز|مَراكِز||||n|
congratulation|xiii - Introduction|6b|تَهْنِئة|تَهانِي||||n|
position (in a job)|xiii - Introduction|6b|مَنْصِب|مَناصِب||||n|
parking lot; situation; attitude|xiii - Introduction|6b|مَوْقِف|مَواقِف||||n|
attitude; parking lot; situation|xiii - Introduction|6b|مَوْقِف|مَواقِف||||n|
situation; attitude; parking lot|xiii - Introduction|6b|مَوْقِف|مَواقِف||||n|
parking spot|||مَوْقِف|مَواقِف||||n|
talent, gifting|xiii - Introduction|6b|مَوْهِبة|مَواهِب||||n|
gifting, talent|xiii - Introduction|6b|مَوْهِبة|مَواهِب||||n|
experiment; temptation|xiii - Introduction|6b|تَجْرِبة|تَجارِب||||n|
temptation; experiment|xiii - Introduction|6b|تَجْرِبة|تَجارِب||||n|
notebook|xiii - Introduction|6c|دَفْتَر|دَفاتِر||||n|
planet|xiii - Introduction|6c|كَوْكَب|كَواكِب||||n|
index|xiii - Introduction|6c|فَهْرَس|فَهارِس||||n|
lawsuit|xiii - Introduction|6c|دَعْوى|دَعاوِي||||n|
lawsuit|xiii - Introduction|6c|دَعْوة|دَعاوِي||||n|
fox|xiv - Introduction|6c|ثَعْلَب|ثَعالِب||||n|
rabbit|xiv - Introduction|6c|أَرْنَب|أَرانِب||||n|
idiot|xiv - Introduction|6c|أَهْبَل|هَبايِل||||n|
flat tire, a flat|xiv - Introduction|6c|بَنْشَر|بَناشِر||||n|
complaint|xiv - Introduction|6c|شَكْوى|شَكاوِي||||n|
pot (for cooking)|xiv - Introduction|6c|طَنْجَرة|طَناجِر||||n|
widow (fem.)|xiv - Introduction|6c|أَرْمَلة|أَرامِل||||n|
list; schedule; stream; index|xiv - Introduction|6c|جَدْوَل|جَداوِل||||n|
schedule; list; stream; index|xiv - Introduction|6c|جَدْوَل|جَداوِل||||n|
